title,price,url
"M575 Ergonomic Wireless Trackball USB Mouse, Black (910-005869)",34.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDUyNDc3ODcxNDQzMjkxOjE3NDAxNDMzOTY6c3BfYXRmOjMwMDY2NDI2NDg4MzMwMjo6MDo6&url=%2FLogitech-910-005867-M575-Latin-America%2Fdp%2FB08TLYK78K%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI%26dib_tag%3Dse%26keywords%3Dlogitech%26qid%3D1740143396%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"New h390 USB Headset with noisecanceling Microphone Bulk Packaging, 5.8 Ounce",28.09,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDUyNDc3ODcxNDQzMjkxOjE3NDAxNDMzOTY6c3BfYXRmOjMwMDIwNDk0NjI4NzIwMjo6MDo6&url=%2FLogitech-logitech-noisecanceling-Microphone-Packaging%2Fdp%2FB075G4JT4S%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI%26dib_tag%3Dse%26keywords%3Dlogitech%26qid%3D1740143396%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"MX Keys S Combo - Performance Wireless Keyboard and Mouse with Palm Rest, Customizable Illumination, Fast Scrolling, Bluetooth, USB C, for Windows, Linux, Chrome, Mac",174.59,https://www.amazon.com/Logitech-Keys-Combo-Customizable-Illumination/dp/B0BKVY4WKT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-3
"Brio 101 Full HD 1080p Webcam Made for Meetings and Works for Streaming — Auto-Light Balance, Built-in Mic, Privacy Shutter, USB-A, for Microsoft Teams, Google Meet, Zoom, and More - Black",35.99,https://www.amazon.com/Logitech-Webcam-Meetings-Streaming-Built/dp/B0BXGFFSL1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-4
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",Chưa cập nhật,https://www.amazon.com/Logitech-G502-Performance-Gaming-Mouse/dp/B07GBZ4Q68/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-5
"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO-G audio drivers - Black",Chưa cập nhật,https://www.amazon.com/Logitech-Wireless-Headset-Black-Tico/dp/B081415GCS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-6
"Bluetooth Headset, V5.2 Wireless Headset with AI Noise Cancellation Microphone, On Ear Headphones with Charging Base and Bluetooth Adapter, for Computer Home Office Call Center Zoom Skype",65.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDUyNDc3ODcxNDQzMjkxOjE3NDAxNDMzOTY6c3BfbXRmOjMwMDExMDY1NzQyNDIwMjo6MDo6&url=%2FPrancyBt-Bluetooth-Cancellation-Microphone-Headphones%2Fdp%2FB0C2Z59G31%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI%26dib_tag%3Dse%26keywords%3Dlogitech%26qid%3D1740143396%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",Chưa cập nhật,https://www.amazon.com/Logitech-Dual-motor-Feedback-Responsive-PlayStation/dp/B00Z0UWWYC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-8
MK335 Wireless Keyboard and Mouse Combo - Black/Silver,39.57,https://www.amazon.com/Logitech-13004-MK335/dp/B072JX77X6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-9
"C922x Pro Stream Webcam – Full 1080p HD Camera, Black",98.49,https://www.amazon.com/Logitech-C922x-Pro-Stream-Webcam/dp/B01LXCDPPK/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-p5_nhrB5en6YgeaBIXSxF9MI456q-B1_ygrTfmmkcCIHkWoX5cn4y1bOzW0nTLYZmrXZR3BYj4ldkhed4DIPYH9-xZWXCahh5vnvUdUMche70_MjhZHOEe0iYS9eq2I0izUeAoprVNa_xEsFMFiGs44eJo9YaKeOr_Wfm0YJ_USNuZ0c-bj2T8wllunSCtZTWp_FYXHMg8UNd_tZKBw4Yqvq3MoIQqWHvr6xGORXD4.JFiRDkMpA440eUEYsng9SbvmFA_-PrSW9cPiyfXxixI&dib_tag=se&keywords=logitech&qid=1740143396&sr=8-10
